commodity,commodity_type,price,market,state,district,date
Rice,Cereals,68.98,Local Market,National Average,All,2025-05-28
Rice,Cereals,55.4,Wholesale Market,National Average,All,2025-05-28
Rice,Cereals,61.8,Government Market,National Average,All,2025-05-28
Rice,Cereals,62.23,Local Market,National Average,All,2025-05-27
Rice,Cereals,50.84,Wholesale Market,National Average,All,2025-05-27
Rice,Cereals,56.09,Government Market,National Average,All,2025-05-27
Rice,Cereals,65.25,Local Market,National Average,All,2025-05-26
Rice,Cereals,53.25,Wholesale Market,National Average,All,2025-05-26
Rice,Cereals,58.24,Government Market,National Average,All,2025-05-26
Rice,Cereals,60.74,Local Market,National Average,All,2025-05-25
Rice,Cereals,49.06,Wholesale Market,National Average,All,2025-05-25
Rice,Cereals,55.9,Government Market,National Average,All,2025-05-25
Rice,Cereals,60.38,Local Market,National Average,All,2025-05-24
Rice,Cereals,49.87,Wholesale Market,National Average,All,2025-05-24
Rice,Cereals,54.82,Government Market,National Average,All,2025-05-24
Rice,Cereals,62.8,Local Market,National Average,All,2025-05-23
Rice,Cereals,50.84,Wholesale Market,National Average,All,2025-05-23
Rice,Cereals,56.41,Government Market,National Average,All,2025-05-23
Rice,Cereals,56.83,Local Market,National Average,All,2025-05-22
Rice,Cereals,46.16,Wholesale Market,National Average,All,2025-05-22
Rice,Cereals,51.26,Government Market,National Average,All,2025-05-22
Rice,Cereals,58.4,Local Market,National Average,All,2025-05-21
Rice,Cereals,48.44,Wholesale Market,National Average,All,2025-05-21
Rice,Cereals,53.3,Government Market,National Average,All,2025-05-21
Rice,Cereals,59.08,Local Market,National Average,All,2025-05-20
Rice,Cereals,48.12,Wholesale Market,National Average,All,2025-05-20
Rice,Cereals,54.06,Government Market,National Average,All,2025-05-20
Rice,Cereals,59.92,Local Market,National Average,All,2025-05-19
Rice,Cereals,48.34,Wholesale Market,National Average,All,2025-05-19
Rice,Cereals,53.3,Government Market,National Average,All,2025-05-19
Rice,Cereals,58.83,Local Market,National Average,All,2025-05-18
Rice,Cereals,47.77,Wholesale Market,National Average,All,2025-05-18
Rice,Cereals,53.78,Government Market,National Average,All,2025-05-18
Rice,Cereals,59.82,Local Market,National Average,All,2025-05-17
Rice,Cereals,48.57,Wholesale Market,National Average,All,2025-05-17
Rice,Cereals,53.62,Government Market,National Average,All,2025-05-17
Rice,Cereals,62.64,Local Market,National Average,All,2025-05-16
Rice,Cereals,51.52,Wholesale Market,National Average,All,2025-05-16
Rice,Cereals,57.89,Government Market,National Average,All,2025-05-16
Rice,Cereals,63.9,Local Market,National Average,All,2025-05-15
Rice,Cereals,52.26,Wholesale Market,National Average,All,2025-05-15
Rice,Cereals,58.73,Government Market,National Average,All,2025-05-15
Rice,Cereals,64.87,Local Market,National Average,All,2025-05-14
Rice,Cereals,52.52,Wholesale Market,National Average,All,2025-05-14
Rice,Cereals,59.62,Government Market,National Average,All,2025-05-14
Rice,Cereals,67.17,Local Market,National Average,All,2025-05-13
Rice,Cereals,54.33,Wholesale Market,National Average,All,2025-05-13
Rice,Cereals,61.54,Government Market,National Average,All,2025-05-13
Rice,Cereals,69.82,Local Market,National Average,All,2025-05-12
Rice,Cereals,56.66,Wholesale Market,National Average,All,2025-05-12
Rice,Cereals,62.17,Government Market,National Average,All,2025-05-12
Rice,Cereals,67.95,Local Market,National Average,All,2025-05-11
Rice,Cereals,55.46,Wholesale Market,National Average,All,2025-05-11
Rice,Cereals,61.97,Government Market,National Average,All,2025-05-11
Rice,Cereals,71.75,Local Market,National Average,All,2025-05-10
Rice,Cereals,58.49,Wholesale Market,National Average,All,2025-05-10
Rice,Cereals,65.02,Government Market,National Average,All,2025-05-10
Rice,Cereals,71.23,Local Market,National Average,All,2025-05-09
Rice,Cereals,58.82,Wholesale Market,National Average,All,2025-05-09
Rice,Cereals,64.77,Government Market,National Average,All,2025-05-09
Rice,Cereals,72.12,Local Market,National Average,All,2025-05-08
Rice,Cereals,60.4,Wholesale Market,National Average,All,2025-05-08
Rice,Cereals,65.3,Government Market,National Average,All,2025-05-08
Rice,Cereals,75.32,Local Market,National Average,All,2025-05-07
Rice,Cereals,61.46,Wholesale Market,National Average,All,2025-05-07
Rice,Cereals,68.42,Government Market,National Average,All,2025-05-07
Rice,Cereals,69.62,Local Market,National Average,All,2025-05-06
Rice,Cereals,56.96,Wholesale Market,National Average,All,2025-05-06
Rice,Cereals,63.36,Government Market,National Average,All,2025-05-06
Rice,Cereals,70.26,Local Market,National Average,All,2025-05-05
Rice,Cereals,58.29,Wholesale Market,National Average,All,2025-05-05
Rice,Cereals,64.27,Government Market,National Average,All,2025-05-05
Rice,Cereals,71.25,Local Market,National Average,All,2025-05-04
Rice,Cereals,60.88,Wholesale Market,National Average,All,2025-05-04
Rice,Cereals,65.02,Government Market,National Average,All,2025-05-04
Rice,Cereals,71.15,Local Market,National Average,All,2025-05-03
Rice,Cereals,57.86,Wholesale Market,National Average,All,2025-05-03
Rice,Cereals,63.97,Government Market,National Average,All,2025-05-03
Rice,Cereals,68.71,Local Market,National Average,All,2025-05-02
Rice,Cereals,57.28,Wholesale Market,National Average,All,2025-05-02
Rice,Cereals,62.66,Government Market,National Average,All,2025-05-02
Rice,Cereals,69.72,Local Market,National Average,All,2025-05-01
Rice,Cereals,56.64,Wholesale Market,National Average,All,2025-05-01
Rice,Cereals,62.56,Government Market,National Average,All,2025-05-01
Rice,Cereals,70.93,Local Market,National Average,All,2025-04-30
Rice,Cereals,58.43,Wholesale Market,National Average,All,2025-04-30
Rice,Cereals,64.54,Government Market,National Average,All,2025-04-30
Rice,Cereals,68.79,Local Market,National Average,All,2025-04-29
Rice,Cereals,54.98,Wholesale Market,National Average,All,2025-04-29
Rice,Cereals,60.15,Government Market,National Average,All,2025-04-29
Rice,Cereals,62.48,Local Market,National Average,All,2025-04-28
Rice,Cereals,51.97,Wholesale Market,National Average,All,2025-04-28
Rice,Cereals,57.61,Government Market,National Average,All,2025-04-28
Rice,Cereals,65.52,Local Market,National Average,All,2025-04-27
Rice,Cereals,54.61,Wholesale Market,National Average,All,2025-04-27
Rice,Cereals,59.84,Government Market,National Average,All,2025-04-27
Rice,Cereals,59.62,Local Market,National Average,All,2025-04-26
Rice,Cereals,49.04,Wholesale Market,National Average,All,2025-04-26
Rice,Cereals,54.79,Government Market,National Average,All,2025-04-26
Rice,Cereals,61.24,Local Market,National Average,All,2025-04-25
Rice,Cereals,50.59,Wholesale Market,National Average,All,2025-04-25
Rice,Cereals,56.12,Government Market,National Average,All,2025-04-25
Rice,Cereals,58.75,Local Market,National Average,All,2025-04-24
Rice,Cereals,47.7,Wholesale Market,National Average,All,2025-04-24
Rice,Cereals,53.3,Government Market,National Average,All,2025-04-24
Rice,Cereals,60.71,Local Market,National Average,All,2025-04-23
Rice,Cereals,50.67,Wholesale Market,National Average,All,2025-04-23
Rice,Cereals,55.82,Government Market,National Average,All,2025-04-23
Rice,Cereals,60.25,Local Market,National Average,All,2025-04-22
Rice,Cereals,48.89,Wholesale Market,National Average,All,2025-04-22
Rice,Cereals,53.72,Government Market,National Average,All,2025-04-22
Rice,Cereals,57.17,Local Market,National Average,All,2025-04-21
Rice,Cereals,48.14,Wholesale Market,National Average,All,2025-04-21
Rice,Cereals,52.51,Government Market,National Average,All,2025-04-21
Rice,Cereals,57.52,Local Market,National Average,All,2025-04-20
Rice,Cereals,47.33,Wholesale Market,National Average,All,2025-04-20
Rice,Cereals,51.92,Government Market,National Average,All,2025-04-20
Rice,Cereals,59.6,Local Market,National Average,All,2025-04-19
Rice,Cereals,48.93,Wholesale Market,National Average,All,2025-04-19
Rice,Cereals,54.82,Government Market,National Average,All,2025-04-19
Rice,Cereals,61.61,Local Market,National Average,All,2025-04-18
Rice,Cereals,50.52,Wholesale Market,National Average,All,2025-04-18
Rice,Cereals,55.64,Government Market,National Average,All,2025-04-18
Rice,Cereals,62.74,Local Market,National Average,All,2025-04-17
Rice,Cereals,51.34,Wholesale Market,National Average,All,2025-04-17
Rice,Cereals,57.93,Government Market,National Average,All,2025-04-17
Rice,Cereals,63.14,Local Market,National Average,All,2025-04-16
Rice,Cereals,50.41,Wholesale Market,National Average,All,2025-04-16
Rice,Cereals,57.48,Government Market,National Average,All,2025-04-16
Rice,Cereals,62.84,Local Market,National Average,All,2025-04-15
Rice,Cereals,52.86,Wholesale Market,National Average,All,2025-04-15
Rice,Cereals,58.0,Government Market,National Average,All,2025-04-15
Rice,Cereals,65.18,Local Market,National Average,All,2025-04-14
Rice,Cereals,53.0,Wholesale Market,National Average,All,2025-04-14
Rice,Cereals,58.85,Government Market,National Average,All,2025-04-14
Basmati Rice,Cereals,132.51,Local Market,National Average,All,2025-06-12
Basmati Rice,Cereals,110.84,Wholesale Market,National Average,All,2025-06-12
Basmati Rice,Cereals,123.84,Government Market,National Average,All,2025-06-12
Basmati Rice,Cereals,134.04,Local Market,National Average,All,2025-06-11
Basmati Rice,Cereals,109.09,Wholesale Market,National Average,All,2025-06-11
Basmati Rice,Cereals,121.5,Government Market,National Average,All,2025-06-11
Basmati Rice,Cereals,134.32,Local Market,National Average,All,2025-06-10
Basmati Rice,Cereals,110.22,Wholesale Market,National Average,All,2025-06-10
Basmati Rice,Cereals,125.36,Government Market,National Average,All,2025-06-10
Basmati Rice,Cereals,135.81,Local Market,National Average,All,2025-06-09
Basmati Rice,Cereals,111.35,Wholesale Market,National Average,All,2025-06-09
Basmati Rice,Cereals,125.19,Government Market,National Average,All,2025-06-09
Basmati Rice,Cereals,146.32,Local Market,National Average,All,2025-06-08
Basmati Rice,Cereals,119.75,Wholesale Market,National Average,All,2025-06-08
Basmati Rice,Cereals,132.0,Government Market,National Average,All,2025-06-08
Basmati Rice,Cereals,138.84,Local Market,National Average,All,2025-06-07
Basmati Rice,Cereals,113.32,Wholesale Market,National Average,All,2025-06-07
Basmati Rice,Cereals,125.43,Government Market,National Average,All,2025-06-07
Basmati Rice,Cereals,138.78,Local Market,National Average,All,2025-06-06
Basmati Rice,Cereals,113.61,Wholesale Market,National Average,All,2025-06-06
Basmati Rice,Cereals,127.42,Government Market,National Average,All,2025-06-06
Basmati Rice,Cereals,138.17,Local Market,National Average,All,2025-06-05
Basmati Rice,Cereals,112.83,Wholesale Market,National Average,All,2025-06-05
Basmati Rice,Cereals,124.42,Government Market,National Average,All,2025-06-05
Basmati Rice,Cereals,147.22,Local Market,National Average,All,2025-06-04
Basmati Rice,Cereals,120.47,Wholesale Market,National Average,All,2025-06-04
Basmati Rice,Cereals,132.28,Government Market,National Average,All,2025-06-04
Basmati Rice,Cereals,137.41,Local Market,National Average,All,2025-06-03
Basmati Rice,Cereals,111.14,Wholesale Market,National Average,All,2025-06-03
Basmati Rice,Cereals,124.74,Government Market,National Average,All,2025-06-03
Basmati Rice,Cereals,137.59,Local Market,National Average,All,2025-06-02
Basmati Rice,Cereals,111.4,Wholesale Market,National Average,All,2025-06-02
Basmati Rice,Cereals,123.87,Government Market,National Average,All,2025-06-02
Basmati Rice,Cereals,136.63,Local Market,National Average,All,2025-06-01
Basmati Rice,Cereals,112.07,Wholesale Market,National Average,All,2025-06-01
Basmati Rice,Cereals,121.92,Government Market,National Average,All,2025-06-01
Basmati Rice,Cereals,130.21,Local Market,National Average,All,2025-05-31
Basmati Rice,Cereals,107.71,Wholesale Market,National Average,All,2025-05-31
Basmati Rice,Cereals,118.04,Government Market,National Average,All,2025-05-31
Basmati Rice,Cereals,128.45,Local Market,National Average,All,2025-05-30
Basmati Rice,Cereals,103.64,Wholesale Market,National Average,All,2025-05-30
Basmati Rice,Cereals,113.57,Government Market,National Average,All,2025-05-30
Basmati Rice,Cereals,131.47,Local Market,National Average,All,2025-05-29
Basmati Rice,Cereals,106.31,Wholesale Market,National Average,All,2025-05-29
Basmati Rice,Cereals,118.82,Government Market,National Average,All,2025-05-29
Basmati Rice,Cereals,123.14,Local Market,National Average,All,2025-05-28
Basmati Rice,Cereals,102.59,Wholesale Market,National Average,All,2025-05-28
Basmati Rice,Cereals,111.72,Government Market,National Average,All,2025-05-28
Basmati Rice,Cereals,130.26,Local Market,National Average,All,2025-05-27
Basmati Rice,Cereals,107.53,Wholesale Market,National Average,All,2025-05-27
Basmati Rice,Cereals,118.19,Government Market,National Average,All,2025-05-27
Basmati Rice,Cereals,123.01,Local Market,National Average,All,2025-05-26
Basmati Rice,Cereals,99.95,Wholesale Market,National Average,All,2025-05-26
Basmati Rice,Cereals,111.53,Government Market,National Average,All,2025-05-26
Basmati Rice,Cereals,117.2,Local Market,National Average,All,2025-05-25
Basmati Rice,Cereals,95.97,Wholesale Market,National Average,All,2025-05-25
Basmati Rice,Cereals,107.39,Government Market,National Average,All,2025-05-25
Basmati Rice,Cereals,113.98,Local Market,National Average,All,2025-05-24
Basmati Rice,Cereals,91.25,Wholesale Market,National Average,All,2025-05-24
Basmati Rice,Cereals,104.84,Government Market,National Average,All,2025-05-24
Basmati Rice,Cereals,112.84,Local Market,National Average,All,2025-05-23
Basmati Rice,Cereals,92.38,Wholesale Market,National Average,All,2025-05-23
Basmati Rice,Cereals,103.73,Government Market,National Average,All,2025-05-23
Basmati Rice,Cereals,113.13,Local Market,National Average,All,2025-05-22
Basmati Rice,Cereals,93.68,Wholesale Market,National Average,All,2025-05-22
Basmati Rice,Cereals,105.2,Government Market,National Average,All,2025-05-22
Basmati Rice,Cereals,114.34,Local Market,National Average,All,2025-05-21
Basmati Rice,Cereals,92.61,Wholesale Market,National Average,All,2025-05-21
Basmati Rice,Cereals,102.91,Government Market,National Average,All,2025-05-21
Basmati Rice,Cereals,111.79,Local Market,National Average,All,2025-05-20
Basmati Rice,Cereals,91.38,Wholesale Market,National Average,All,2025-05-20
Basmati Rice,Cereals,100.65,Government Market,National Average,All,2025-05-20
Basmati Rice,Cereals,108.11,Local Market,National Average,All,2025-05-19
Basmati Rice,Cereals,89.23,Wholesale Market,National Average,All,2025-05-19
Basmati Rice,Cereals,98.44,Government Market,National Average,All,2025-05-19
Basmati Rice,Cereals,109.01,Local Market,National Average,All,2025-05-18
Basmati Rice,Cereals,87.41,Wholesale Market,National Average,All,2025-05-18
Basmati Rice,Cereals,99.44,Government Market,National Average,All,2025-05-18
Basmati Rice,Cereals,114.72,Local Market,National Average,All,2025-05-17
Basmati Rice,Cereals,91.34,Wholesale Market,National Average,All,2025-05-17
Basmati Rice,Cereals,102.7,Government Market,National Average,All,2025-05-17
Basmati Rice,Cereals,118.38,Local Market,National Average,All,2025-05-16
Basmati Rice,Cereals,95.05,Wholesale Market,National Average,All,2025-05-16
Basmati Rice,Cereals,106.33,Government Market,National Average,All,2025-05-16
Basmati Rice,Cereals,119.84,Local Market,National Average,All,2025-05-15
Basmati Rice,Cereals,99.11,Wholesale Market,National Average,All,2025-05-15
Basmati Rice,Cereals,109.07,Government Market,National Average,All,2025-05-15
Basmati Rice,Cereals,126.59,Local Market,National Average,All,2025-05-14
Basmati Rice,Cereals,101.48,Wholesale Market,National Average,All,2025-05-14
Basmati Rice,Cereals,113.13,Government Market,National Average,All,2025-05-14
Basmati Rice,Cereals,122.8,Local Market,National Average,All,2025-05-13
Basmati Rice,Cereals,102.5,Wholesale Market,National Average,All,2025-05-13
Basmati Rice,Cereals,111.88,Government Market,National Average,All,2025-05-13
Basmati Rice,Cereals,132.37,Local Market,National Average,All,2025-05-12
Basmati Rice,Cereals,106.05,Wholesale Market,National Average,All,2025-05-12
Basmati Rice,Cereals,119.29,Government Market,National Average,All,2025-05-12
Basmati Rice,Cereals,127.08,Local Market,National Average,All,2025-05-11
Basmati Rice,Cereals,104.66,Wholesale Market,National Average,All,2025-05-11
Basmati Rice,Cereals,114.51,Government Market,National Average,All,2025-05-11
Basmati Rice,Cereals,128.13,Local Market,National Average,All,2025-05-10
Basmati Rice,Cereals,102.45,Wholesale Market,National Average,All,2025-05-10
Basmati Rice,Cereals,115.17,Government Market,National Average,All,2025-05-10
Basmati Rice,Cereals,134.59,Local Market,National Average,All,2025-05-09
Basmati Rice,Cereals,109.61,Wholesale Market,National Average,All,2025-05-09
Basmati Rice,Cereals,123.9,Government Market,National Average,All,2025-05-09
Basmati Rice,Cereals,131.29,Local Market,National Average,All,2025-05-08
Basmati Rice,Cereals,107.5,Wholesale Market,National Average,All,2025-05-08
Basmati Rice,Cereals,119.28,Government Market,National Average,All,2025-05-08
Basmati Rice,Cereals,131.2,Local Market,National Average,All,2025-05-07
Basmati Rice,Cereals,107.92,Wholesale Market,National Average,All,2025-05-07
Basmati Rice,Cereals,120.54,Government Market,National Average,All,2025-05-07
Basmati Rice,Cereals,128.19,Local Market,National Average,All,2025-05-06
Basmati Rice,Cereals,106.93,Wholesale Market,National Average,All,2025-05-06
Basmati Rice,Cereals,118.56,Government Market,National Average,All,2025-05-06
Basmati Rice,Cereals,129.72,Local Market,National Average,All,2025-05-05
Basmati Rice,Cereals,109.82,Wholesale Market,National Average,All,2025-05-05
Basmati Rice,Cereals,118.01,Government Market,National Average,All,2025-05-05
Basmati Rice,Cereals,133.12,Local Market,National Average,All,2025-05-04
Basmati Rice,Cereals,105.43,Wholesale Market,National Average,All,2025-05-04
Basmati Rice,Cereals,117.37,Government Market,National Average,All,2025-05-04
Basmati Rice,Cereals,134.42,Local Market,National Average,All,2025-05-03
Basmati Rice,Cereals,110.52,Wholesale Market,National Average,All,2025-05-03
Basmati Rice,Cereals,122.82,Government Market,National Average,All,2025-05-03
Basmati Rice,Cereals,128.57,Local Market,National Average,All,2025-05-02
Basmati Rice,Cereals,104.18,Wholesale Market,National Average,All,2025-05-02
Basmati Rice,Cereals,116.7,Government Market,National Average,All,2025-05-02
Basmati Rice,Cereals,128.66,Local Market,National Average,All,2025-05-01
Basmati Rice,Cereals,104.52,Wholesale Market,National Average,All,2025-05-01
Basmati Rice,Cereals,117.19,Government Market,National Average,All,2025-05-01
Basmati Rice,Cereals,119.92,Local Market,National Average,All,2025-04-30
Basmati Rice,Cereals,98.92,Wholesale Market,National Average,All,2025-04-30
Basmati Rice,Cereals,107.07,Government Market,National Average,All,2025-04-30
Basmati Rice,Cereals,117.7,Local Market,National Average,All,2025-04-29
Basmati Rice,Cereals,95.9,Wholesale Market,National Average,All,2025-04-29
Basmati Rice,Cereals,106.43,Government Market,National Average,All,2025-04-29
Basmati Rice,Cereals,116.58,Local Market,National Average,All,2025-04-28
Basmati Rice,Cereals,93.76,Wholesale Market,National Average,All,2025-04-28
Basmati Rice,Cereals,103.53,Government Market,National Average,All,2025-04-28
Basmati Rice,Cereals,110.87,Local Market,National Average,All,2025-04-27
Basmati Rice,Cereals,90.45,Wholesale Market,National Average,All,2025-04-27
Basmati Rice,Cereals,101.13,Government Market,National Average,All,2025-04-27
Basmati Rice,Cereals,108.81,Local Market,National Average,All,2025-04-26
Basmati Rice,Cereals,90.03,Wholesale Market,National Average,All,2025-04-26
Basmati Rice,Cereals,99.33,Government Market,National Average,All,2025-04-26
Basmati Rice,Cereals,108.95,Local Market,National Average,All,2025-04-25
Basmati Rice,Cereals,87.84,Wholesale Market,National Average,All,2025-04-25
Basmati Rice,Cereals,98.46,Government Market,National Average,All,2025-04-25
Basmati Rice,Cereals,107.08,Local Market,National Average,All,2025-04-24
Basmati Rice,Cereals,87.21,Wholesale Market,National Average,All,2025-04-24
Basmati Rice,Cereals,96.68,Government Market,National Average,All,2025-04-24
Basmati Rice,Cereals,110.76,Local Market,National Average,All,2025-04-23
Basmati Rice,Cereals,90.26,Wholesale Market,National Average,All,2025-04-23
Basmati Rice,Cereals,102.0,Government Market,National Average,All,2025-04-23
Basmati Rice,Cereals,96.03,Local Market,National Average,All,2025-04-22
Basmati Rice,Cereals,77.7,Wholesale Market,National Average,All,2025-04-22
Basmati Rice,Cereals,85.63,Government Market,National Average,All,2025-04-22
Basmati Rice,Cereals,100.98,Local Market,National Average,All,2025-04-21
Basmati Rice,Cereals,82.04,Wholesale Market,National Average,All,2025-04-21
Basmati Rice,Cereals,90.94,Government Market,National Average,All,2025-04-21
Basmati Rice,Cereals,104.8,Local Market,National Average,All,2025-04-20
Basmati Rice,Cereals,86.53,Wholesale Market,National Average,All,2025-04-20
Basmati Rice,Cereals,94.62,Government Market,National Average,All,2025-04-20
Basmati Rice,Cereals,103.44,Local Market,National Average,All,2025-04-19
Basmati Rice,Cereals,83.15,Wholesale Market,National Average,All,2025-04-19
Basmati Rice,Cereals,94.49,Government Market,National Average,All,2025-04-19
Basmati Rice,Cereals,106.34,Local Market,National Average,All,2025-04-18
Basmati Rice,Cereals,87.06,Wholesale Market,National Average,All,2025-04-18
Basmati Rice,Cereals,95.78,Government Market,National Average,All,2025-04-18
Basmati Rice,Cereals,101.72,Local Market,National Average,All,2025-04-17
Basmati Rice,Cereals,81.66,Wholesale Market,National Average,All,2025-04-17
Basmati Rice,Cereals,91.97,Government Market,National Average,All,2025-04-17
Basmati Rice,Cereals,109.97,Local Market,National Average,All,2025-04-16
Basmati Rice,Cereals,89.81,Wholesale Market,National Average,All,2025-04-16
Basmati Rice,Cereals,101.0,Government Market,National Average,All,2025-04-16
Basmati Rice,Cereals,111.93,Local Market,National Average,All,2025-04-15
Basmati Rice,Cereals,90.89,Wholesale Market,National Average,All,2025-04-15
Basmati Rice,Cereals,101.01,Government Market,National Average,All,2025-04-15
Basmati Rice,Cereals,114.74,Local Market,National Average,All,2025-04-14
Basmati Rice,Cereals,92.62,Wholesale Market,National Average,All,2025-04-14
Basmati Rice,Cereals,100.83,Government Market,National Average,All,2025-04-14
Brown Rice,Cereals,97.56,Local Market,National Average,All,2025-06-12
Brown Rice,Cereals,79.5,Wholesale Market,National Average,All,2025-06-12
Brown Rice,Cereals,89.78,Government Market,National Average,All,2025-06-12
Brown Rice,Cereals,101.57,Local Market,National Average,All,2025-06-11
Brown Rice,Cereals,83.87,Wholesale Market,National Average,All,2025-06-11
Brown Rice,Cereals,92.04,Government Market,National Average,All,2025-06-11
Brown Rice,Cereals,101.7,Local Market,National Average,All,2025-06-10
Brown Rice,Cereals,82.79,Wholesale Market,National Average,All,2025-06-10
Brown Rice,Cereals,92.66,Government Market,National Average,All,2025-06-10
Brown Rice,Cereals,104.63,Local Market,National Average,All,2025-06-09
Brown Rice,Cereals,84.74,Wholesale Market,National Average,All,2025-06-09
Brown Rice,Cereals,93.63,Government Market,National Average,All,2025-06-09
Brown Rice,Cereals,106.94,Local Market,National Average,All,2025-06-08
Brown Rice,Cereals,89.41,Wholesale Market,National Average,All,2025-06-08
Brown Rice,Cereals,97.01,Government Market,National Average,All,2025-06-08
Brown Rice,Cereals,110.25,Local Market,National Average,All,2025-06-07
Brown Rice,Cereals,89.08,Wholesale Market,National Average,All,2025-06-07
Brown Rice,Cereals,100.26,Government Market,National Average,All,2025-06-07
Brown Rice,Cereals,107.27,Local Market,National Average,All,2025-06-06
Brown Rice,Cereals,88.17,Wholesale Market,National Average,All,2025-06-06
Brown Rice,Cereals,96.78,Government Market,National Average,All,2025-06-06
Brown Rice,Cereals,109.19,Local Market,National Average,All,2025-06-05
Brown Rice,Cereals,89.83,Wholesale Market,National Average,All,2025-06-05
Brown Rice,Cereals,99.77,Government Market,National Average,All,2025-06-05
Brown Rice,Cereals,114.31,Local Market,National Average,All,2025-06-04
Brown Rice,Cereals,95.43,Wholesale Market,National Average,All,2025-06-04
Brown Rice,Cereals,105.14,Government Market,National Average,All,2025-06-04
Brown Rice,Cereals,111.48,Local Market,National Average,All,2025-06-03
Brown Rice,Cereals,90.87,Wholesale Market,National Average,All,2025-06-03
Brown Rice,Cereals,101.93,Government Market,National Average,All,2025-06-03
Brown Rice,Cereals,112.08,Local Market,National Average,All,2025-06-02
Brown Rice,Cereals,92.41,Wholesale Market,National Average,All,2025-06-02
Brown Rice,Cereals,101.44,Government Market,National Average,All,2025-06-02
Brown Rice,Cereals,109.36,Local Market,National Average,All,2025-06-01
Brown Rice,Cereals,89.92,Wholesale Market,National Average,All,2025-06-01
Brown Rice,Cereals,100.32,Government Market,National Average,All,2025-06-01
Brown Rice,Cereals,104.44,Local Market,National Average,All,2025-05-31
Brown Rice,Cereals,86.02,Wholesale Market,National Average,All,2025-05-31
Brown Rice,Cereals,96.17,Government Market,National Average,All,2025-05-31
Brown Rice,Cereals,107.23,Local Market,National Average,All,2025-05-30
Brown Rice,Cereals,86.07,Wholesale Market,National Average,All,2025-05-30
Brown Rice,Cereals,97.45,Government Market,National Average,All,2025-05-30
Brown Rice,Cereals,108.59,Local Market,National Average,All,2025-05-29
Brown Rice,Cereals,89.5,Wholesale Market,National Average,All,2025-05-29
Brown Rice,Cereals,98.64,Government Market,National Average,All,2025-05-29
Brown Rice,Cereals,100.29,Local Market,National Average,All,2025-05-28
Brown Rice,Cereals,82.29,Wholesale Market,National Average,All,2025-05-28
Brown Rice,Cereals,91.05,Government Market,National Average,All,2025-05-28
Brown Rice,Cereals,98.72,Local Market,National Average,All,2025-05-27
